location,worldbankregion,pop
Afghanistan,South Asia,38041757
Albania,Europe and Central Asia,2854191
Algeria,Middle East and North Africa,43053054
American Samoa,Latin America and Caribbean,55312
Andorra,Europe and Central Asia,77146
Angola,Sub-Saharan Africa,31825299
Antigua and Barbuda,Latin America and Caribbean,97115
Argentina,Latin America and Caribbean,44938712
Armenia,Europe and Central Asia,2957728
Australia,East Asia and Pacific,25365745
Austria,Europe and Central Asia,8879920
Azerbaijan,Europe and Central Asia,10024283
Bahamas,Latin America and Caribbean,389486
Bahrain,Middle East and North Africa,1641164
Bangladesh,South Asia,163046173
Barbados,Latin America and Caribbean,287021
Belarus,Europe and Central Asia,9417849
Belgium,Europe and Central Asia,11488980
Belize,Latin America and Caribbean,390351
Benin,Sub-Saharan Africa,11801151
Bermuda,Latin America and Caribbean,63913
Bhutan,South Asia,763094
Bolivia (Plurinational State of),Latin America and Caribbean,11513102
Bosnia and Herzegovina,Europe and Central Asia,3300998
Botswana,Sub-Saharan Africa,2303703
Brazil,Latin America and Caribbean,211049519
Brunei Darussalam,East Asia and Pacific,433296
Bulgaria,Europe and Central Asia,6975761
Burkina Faso,Sub-Saharan Africa,20321383
Burundi,Sub-Saharan Africa,11530577
Cabo Verde,Sub-Saharan Africa,549936
Cambodia,East Asia and Pacific,16486542
Cameroon,Sub-Saharan Africa,25876387
Canada,North America,37593384
Central African Republic,Sub-Saharan Africa,4745179
Chad,Sub-Saharan Africa,15946882
Chile,Latin America and Caribbean,18952035
China,East Asia and Pacific,1397715000
Colombia,Latin America and Caribbean,50339443
Comoros,Sub-Saharan Africa,850891
Congo,Sub-Saharan Africa,5380504
Cook Islands,East Asia and Pacific,17548
Costa Rica,Latin America and Caribbean,5047561
Cote d'Ivoire,Sub-Saharan Africa,25716554
Croatia,Europe and Central Asia,4065253
Cuba,Latin America and Caribbean,11333484
Cyprus,Europe and Central Asia,1198574
Czechia,Europe and Central Asia,10671870
Democratic People's Republic of Korea,East Asia and Pacific,25666158
Democratic Republic of the Congo,Sub-Saharan Africa,86790568
